用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U173,34,女,单身,5,5,82131,150,9色钻石珠光眼影盘,6,0.0018263505862363013,千禧一代(28-38),高收入,中消费,活跃,中频,中价值,其他,高收入美妆爱好者
U174,35,女,有朋友,4,5,82131,360,9色钻石珠光眼影盘,6,0.004383241406967123,千禧一代(28-38),高收入,高消费,活跃,中频,高价值,高价值用户,高收入美妆爱好者
U178,45,女,单身,5,5,80886,160,9色钻石珠光眼影盘,6,0.0019780926241626724,成熟用户(39+),高收入,中消费,活跃,中频,中价值,其他,高收入美妆爱好者
U051,29,女,有朋友,3,3,58220,85,贝尔防蓝光眼镜(高级黑),8,0.0014599793885012027,千禧一代(28-38),中收入,低消费,稳定,低频,低价值,其他,中年视力关爱群体
U066,35,男,单身,3,3,77083,85,贝尔防蓝光眼镜(高级黑),8,0.0011027074711531376,千禧一代(28-38),高收入,低消费,稳定,低频,低价值,潜力用户,中年视力关爱群体
U118,31,男,单身,2,1,75220,21,敦乐视疲劳滴眼液(13ML),8,0.00027918106886095213,千禧一代(28-38),高收入,低消费,稳定,低频,低价值,潜力用户,中年视力关爱群体
U125,33,男,单身,3,4,57754,74,敦乐视疲劳滴眼液(13ML),8,0.0012812965335512467,千禧一代(28-38),中收入,低消费,稳定,低频,低价值,其他,中年视力关爱群体
U143,22,女,单身,4,5,38556,200,9色钻石珠光眼影盘,8,0.0051872600890863355,Z世代(18-27),中收入,中消费,稳定,中频,中价值,价值用户,其他用户群体
U145,23,男,单身,5,4,63536,100,9色钻石珠光眼影盘,8,0.001573910853664475,Z世代(18-27),高收入,低消费,稳定,中频,低价值,潜力用户,高收入美妆爱好者
U148,24,女,有朋友,4,5,47271,80,9色钻石珠光眼影盘,8,0.001692369528850831,Z世代(18-27),中收入,低消费,稳定,中频,低价值,其他,其他用户群体
U153,25,男,有朋友,5,5,71006,200,9色钻石珠光眼影盘,8,0.0028166633805197217,Z世代(18-27),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U154,25,女,有朋友,4,3,54741,100,9色钻石珠光眼影盘,8,0.0018267843115429608,Z世代(18-27),中收入,低消费,稳定,中频,低价值,其他,其他用户群体
U155,25,女,单身,6,4,60966,180,9色钻石珠光眼影盘,8,0.0029524653084841966,Z世代(18-27),高收入,中消费,稳定,高频,中价值,其他,高收入美妆爱好者
U156,25,女,有朋友,6,5,65946,240,9色钻石珠光眼影盘,8,0.0036393412791732734,Z世代(18-27),高收入,高消费,稳定,高频,高价值,高价值用户,高收入美妆爱好者
U161,27,女,单身,4,3,78396,100,9色钻石珠光眼影盘,8,0.0012755752844370177,Z世代(18-27),高收入,低消费,稳定,中频,低价值,潜力用户,高收入美妆爱好者
U163,28,男,有朋友,6,5,102131,180,9色钻石珠光眼影盘,8,0.0017624423534307661,千禧一代(28-38),高收入,中消费,稳定,高频,中价值,其他,高收入美妆爱好者
U164,28,女,有朋友,7,5,67191,180,9色钻石珠光眼影盘,8,0.0026789302138280585,千禧一代(28-38),高收入,中消费,稳定,高频,中价值,其他,高收入美妆爱好者
U165,28,女,单身,6,5,78396,150,9色钻石珠光眼影盘,8,0.0019133629266555264,千禧一代(28-38),高收入,中消费,稳定,高频,中价值,其他,高收入美妆爱好者
U166,29,女,单身,5,5,42290,180,9色钻石珠光眼影盘,8,0.004256325372327824,千禧一代(28-38),中收入,中消费,稳定,中频,中价值,价值用户,其他用户群体
U169,30,女,单身,5,4,93336,160,9色钻石珠光眼影盘,8,0.0017142367360748884,千禧一代(28-38),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U170,30,女,有朋友,5,5,89601,150,9色钻石珠光眼影盘,8,0.001674088458815481,千禧一代(28-38),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U172,33,男,有朋友,4,5,105866,200,9色钻石珠光眼影盘,8,0.0018891806623288954,千禧一代(28-38),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U175,38,女,有朋友,5,5,94581,150,9色钻石珠光眼影盘,8,0.0015859422082491628,千禧一代(28-38),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U177,42,女,单身,5,4,79641,200,9色钻石珠光眼影盘,8,0.0025112693210468068,成熟用户(39+),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U179,47,女,有朋友,4,5,94581,120,9色钻石珠光眼影盘,8,0.0012687537665993303,成熟用户(39+),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U180,48,女,单身,4,5,85508,180,9色钻石珠光眼影盘,8,0.002105066192612328,成熟用户(39+),高收入,中消费,稳定,中频,中价值,其他,高收入美妆爱好者
U157,25,女,有朋友,4,5,64701,170,9色钻石珠光眼影盘,10,0.0026274709818607522,Z世代(18-27),高收入,中消费,老用户,中频,中价值,其他,高收入美妆爱好者
U158,26,男,单身,4,3,79721,100,9色钻石珠光眼影盘,11,0.0012543746315117176,Z世代(18-27),高收入,低消费,老用户,中频,低价值,潜力用户,高收入美妆爱好者
U162,27,女,有朋友,4,4,80886,100,9色钻石珠光眼影盘,11,0.0012363078901016702,Z世代(18-27),高收入,低消费,老用户,中频,低价值,潜力用户,高收入美妆爱好者
U176,40,女,单身,6,5,73416,200,9色钻石珠光眼影盘,11,0.002724201808832895,成熟用户(39+),高收入,中消费,老用户,高频,中价值,其他,高收入美妆爱好者
