用户码,R值,F值,M值,总分,customer_value
15811,21,133,2218.62,6,High
15812,106,41,1801.14,6,High
15813,207,40,1303.9099999999999,5,High
15814,16,72,1945.33,5,High
15815,62,49,2100.6,6,High
15819,48,123,1905.45,7,High
15820,319,17,206.98,2,Low
15821,43,62,570.96,4,Medium
15822,2,33,885.47,3,Medium
15823,371,1,15.0,2,Low
15825,171,20,532.94,4,Medium
15826,55,68,1654.31,6,High
15827,72,115,1836.0900000000001,7,High
15829,98,51,636.14,5,High
15830,37,39,576.0,3,Medium
15831,57,68,801.76,5,High
15832,253,54,836.79,6,High
15834,69,273,2233.75,7,High
15835,43,50,954.09,5,High
15836,49,10,137.37,1,Low
15837,64,24,391.98,3,Medium
15838,10,167,33643.08,6,High
15839,32,62,1048.49,5,High
15840,58,27,355.56,3,Medium
15841,72,47,1224.06,5,High
15843,303,8,118.95000000000002,2,Low
15844,45,11,130.73999999999998,1,Low
15845,17,138,3711.77,6,High
15847,37,22,389.27,3,Medium
15850,18,97,238.85,2,Low
15852,186,22,160.71,3,Medium
15853,51,30,110.8,2,Low
15854,3,140,2974.65,6,High
15855,136,80,712.24,6,High
15856,3,645,16387.57,6,High
15857,18,14,297.0,0,Low
15858,14,191,1438.85,5,High
15860,40,142,977.21,6,High
15861,11,546,3165.36,6,High
15862,7,142,1776.36,6,High
15863,24,18,68.84,1,Low
15864,21,20,1936.3200000000002,4,Medium
15865,39,40,895.13,4,Medium
15866,100,45,230.53,4,Medium
15867,4,461,3812.64,6,High
15869,276,15,149.64,2,Low
15870,32,76,354.09000000000003,4,Medium
15872,14,128,360.93,4,Medium
15874,63,120,4405.88,7,High
15877,1,129,493.28,4,Medium
15880,368,105,343.28000000000003,6,High
15881,311,29,501.39000000000004,4,Medium
15882,198,23,516.36,4,Medium
15883,1,49,396.48,3,Medium
15885,92,18,379.35,4,Medium
15886,59,12,181.09,1,Low
15888,80,12,168.31,1,Low
15889,156,93,446.87,5,High
15891,225,62,524.52,5,High
15894,252,41,263.55,3,Medium
15895,149,11,179.17,2,Low
15897,193,24,222.05,3,Medium
15898,0,86,1388.88,4,Medium
15899,368,4,56.25,2,Low
15900,23,51,351.11,3,Medium
15901,15,116,363.88,4,Medium
15903,9,74,5126.76,5,High
15904,7,30,164.68,1,Low
15906,19,150,1567.69,6,High
15907,3,249,967.45,5,High
15909,173,7,191.94,2,Low
15910,0,267,1232.18,5,High
15912,177,19,264.62,3,Medium
15916,15,155,1528.09,6,High
15917,247,12,123.1,2,Low
15918,190,40,334.23,4,Medium
15919,19,143,639.89,4,Medium
15920,153,60,167.5,4,Medium
15921,172,25,336.03000000000003,4,Medium
15922,372,11,369.5,3,Medium
15923,372,21,127.08,3,Medium
15925,193,12,207.15,2,Low
15930,66,21,426.63,3,Medium
15932,3,115,2495.87,6,High
15933,20,74,1107.46,4,Medium
15935,238,12,416.86,3,Medium
15937,63,7,145.35,1,Low
15938,111,18,404.58,4,Medium
15939,89,76,6115.01,6,High
15940,310,1,35.8,2,Low
15942,133,14,337.44,3,Medium
15944,276,6,325.1,3,Medium
15945,364,2,181.0,2,Low
15947,82,29,1708.24,5,High
15948,7,60,955.24,4,Medium
15949,16,19,364.72,2,Low
15950,31,98,1765.51,6,High
15951,8,41,708.22,3,Medium
15952,33,91,806.57,5,High
15953,14,98,1659.3799999999999,5,High
15955,23,183,4416.26,6,High
15957,31,42,428.89,3,Medium
15958,73,7,104.35,1,Low
15963,19,28,470.76,2,Low
15965,16,122,845.64,5,High
15967,22,84,418.83,3,Medium
15969,2,20,666.1,3,Medium
15970,303,11,314.1,3,Medium
15971,16,35,4199.85,4,Medium
15973,366,4,307.82000000000005,3,Medium
15974,38,176,3442.15,7,High
15975,83,24,371.01,3,Medium
15976,164,98,430.94,5,High
15977,16,65,1054.73,4,Medium
15978,76,49,1098.78,5,High
15980,88,43,2398.86,6,High
15981,24,97,3408.48,5,High
15983,21,113,1475.02,5,High
15984,2,270,2837.67,6,High
15985,122,37,1142.42,5,High
15986,29,14,168.12,1,Low
15987,11,140,1451.28,5,High
15988,18,27,158.03,1,Low
15990,43,52,792.11,5,High
15992,3,3,41.989999999999995,0,Low
15993,8,552,2797.57,6,High
15994,54,35,427.07,3,Medium
15996,87,130,1060.68,6,High
15998,35,506,3089.97,7,High
16000,2,9,12393.7,3,Medium
16003,29,103,2735.37,7,High
16005,11,218,615.39,4,Medium
16006,210,8,101.4,2,Low
16007,47,385,1701.94,7,High
16008,23,33,478.78,2,Low
16009,21,90,992.71,4,Medium
16010,245,86,407.5,5,High
16011,7,212,3362.71,6,High
16012,34,94,1415.29,5,High
16013,3,139,37130.6,6,High
16014,37,145,662.38,6,High
16015,3,182,705.39,5,High
16016,2,235,1508.76,6,High
16017,46,32,211.88,2,Low
16018,38,28,408.90000000000003,3,Medium
16019,46,160,3786.2400000000002,7,High
