用户码,R值,F值,M值,R值层级,F值层级,M值层级,总分,总体价值
15482,15,98,11054.96,2,0,2,4,中价值
15483,160,88,233.81,1,0,0,1,低价值
15484,0,188,3594.31,2,1,1,4,中价值
15485,29,86,2575.0,2,0,1,3,中价值
15488,92,2,91.32000000000001,2,0,0,2,低价值
15489,22,50,1134.28,2,0,0,2,低价值
15491,94,154,3100.09,2,1,1,4,中价值
15492,27,35,659.4599999999999,2,0,0,2,低价值
15493,32,297,2001.8,2,1,0,3,中价值
15494,20,125,1299.23,2,0,0,2,低价值
15497,17,15,1262.2,2,0,0,2,低价值
15498,1,512,13316.4,2,2,2,6,高价值
15500,7,68,1131.56,2,0,0,2,低价值
15502,14,213,10384.93,2,1,2,5,高价值
15503,362,70,147.09,0,0,0,0,低价值
15504,80,13,52.83,2,0,0,2,低价值
15505,52,97,3610.96,2,0,1,3,中价值
15506,22,164,979.26,2,1,0,3,中价值
15507,171,46,492.36,1,0,0,1,低价值
15508,188,92,1000.27,1,0,0,1,低价值
15510,330,1,250.0,0,0,0,0,低价值
15511,11,160,909.23,2,1,0,3,中价值
15512,155,7,121.0,1,0,0,1,低价值
15513,32,308,14758.220000000001,2,1,2,5,高价值
15514,11,178,4139.46,2,1,1,4,中价值
15516,44,15,62.43,2,0,0,2,低价值
15517,232,27,267.03,0,0,0,0,低价值
15518,63,214,1942.45,2,1,0,3,中价值
15520,1,18,343.5,2,0,0,2,低价值
15521,39,185,3000.2,2,1,1,4,中价值
15522,32,57,398.84,2,0,0,2,低价值
15523,83,10,412.01000000000005,2,0,0,2,低价值
15524,24,1,440.0,2,0,0,2,低价值
15525,1,178,825.92,2,1,0,3,中价值
15526,32,4,148.44,2,0,0,2,低价值
15527,18,163,2429.78,2,1,0,3,中价值
15528,253,26,229.33,0,0,0,0,低价值
15529,22,672,3995.23,2,2,1,5,高价值
15530,21,108,1502.35,2,0,0,2,低价值
15531,7,228,2007.44,2,1,0,3,中价值
15532,24,256,1580.93,2,1,0,3,中价值
15533,18,83,807.57,2,0,0,2,低价值
15535,172,75,536.4,1,0,0,1,低价值
15537,162,24,110.92,1,0,0,1,低价值
15539,6,41,538.46,2,0,0,2,低价值
15540,10,15,213.3,2,0,0,2,低价值
15541,113,29,85.13000000000001,1,0,0,1,低价值
15543,287,28,127.86,0,0,0,0,低价值
15544,8,259,3546.71,2,1,1,4,中价值
15545,53,81,292.71999999999997,2,0,0,2,低价值
15547,6,702,4954.84,2,2,1,5,高价值
15549,76,115,1693.26,2,0,0,2,低价值
15550,3,61,575.63,2,0,0,2,低价值
15551,35,29,436.06,2,0,0,2,低价值
15552,216,17,90.12,1,0,0,1,低价值
15553,59,56,437.23,2,0,0,2,低价值
15554,277,14,217.2,0,0,0,0,低价值
15555,11,899,4805.17,2,2,1,5,高价值
15556,23,31,279.77,2,0,0,2,低价值
15557,27,20,473.65000000000003,2,0,0,2,低价值
15561,11,27,800.59,2,0,0,2,低价值
15562,351,1,134.55,0,0,0,0,低价值
15563,21,113,1400.44,2,0,0,2,低价值
15565,49,8,173.16,2,0,0,2,低价值
15567,18,7,186.01,2,0,0,2,低价值
15568,2,53,758.29,2,0,0,2,低价值
15569,103,31,1375.71,1,0,0,1,低价值
15570,6,323,4165.52,2,1,1,4,中价值
15571,11,57,650.4300000000001,2,0,0,2,低价值
15572,4,215,2552.86,2,1,1,4,中价值
15573,31,104,607.45,2,0,0,2,低价值
15574,177,168,702.25,1,1,0,2,低价值
15576,37,45,940.6700000000001,2,0,0,2,低价值
15577,150,39,258.88,1,0,0,1,低价值
15578,161,13,127.1,1,0,0,1,低价值
15579,67,51,348.6,2,0,0,2,低价值
15581,120,150,3679.9700000000003,1,1,1,3,中价值
15582,24,44,682.9100000000001,2,0,0,2,低价值
15584,23,123,725.11,2,0,0,2,低价值
15585,176,31,455.3,1,0,0,1,低价值
15587,49,9,913.6800000000001,2,0,0,2,低价值
15589,255,29,478.53000000000003,0,0,0,0,低价值
15592,46,24,388.58,2,0,0,2,低价值
15593,70,5,199.8,2,0,0,2,低价值
15594,15,103,1771.78,2,0,0,2,低价值
15596,100,77,1406.59,1,0,0,1,低价值
15597,34,22,324.57,2,0,0,2,低价值
15598,52,14,240.68,2,0,0,2,低价值
15599,26,52,761.74,2,0,0,2,低价值
15601,10,410,6776.56,2,1,1,4,中价值
15602,7,47,1297.8700000000001,2,0,0,2,低价值
15603,78,2,48.480000000000004,2,0,0,2,低价值
15604,51,17,216.39,2,0,0,2,低价值
15605,35,67,1198.23,2,0,0,2,低价值
15606,60,77,2920.16,2,0,1,3,中价值
15607,335,13,104.76,0,0,0,0,低价值
15608,27,60,1093.68,2,0,0,2,低价值
15609,183,16,298.48,1,0,0,1,低价值
15610,51,6,112.46000000000001,2,0,0,2,低价值
15611,8,43,1591.45,2,0,0,2,低价值
15612,35,6,195.15,2,0,0,2,低价值
15615,9,423,10399.74,2,1,2,5,高价值
15618,32,45,776.851,2,0,0,2,低价值
15619,10,3,336.40000000000003,2,0,0,2,低价值
15620,55,100,1553.18,2,0,0,2,低价值
15621,3,16,1293.03,2,0,0,2,低价值
15622,42,185,3709.56,2,1,1,4,中价值
15623,140,19,301.03,1,0,0,1,低价值
15624,116,34,588.13,1,0,0,1,低价值
15625,103,64,1534.26,1,0,0,1,低价值
15626,74,49,675.8,2,0,0,2,低价值
15628,4,155,2870.2400000000002,2,1,1,4,中价值
15630,44,60,1186.35,2,0,0,2,低价值
15632,15,167,3285.31,2,1,1,4,中价值
15634,16,15,243.55,2,0,0,2,低价值
15636,89,25,724.76,2,0,0,2,低价值
15637,52,15,223.36,2,0,0,2,低价值
15639,133,25,425.32,1,0,0,1,低价值
15640,3,484,12515.66,2,2,2,6,高价值
15641,104,119,1887.2,1,0,0,1,低价值
15643,191,33,664.0,1,0,0,1,低价值
15644,165,238,813.0,1,1,0,2,低价值
15645,18,52,612.01,2,0,0,2,低价值
15646,157,35,447.64000000000004,1,0,0,1,低价值
15648,203,25,657.35,1,0,0,1,低价值
15649,335,2,816.0,0,0,0,0,低价值
15651,36,32,646.3,2,0,0,2,低价值
15652,90,21,337.74,2,0,0,2,低价值
15653,92,6,877.4399999999999,2,0,0,2,低价值
15654,8,21,922.53,2,0,0,2,低价值
15655,242,34,560.67,0,0,0,0,低价值
15656,44,47,890.65,2,0,0,2,低价值
15657,22,1,30.0,2,0,0,2,低价值
15658,189,48,1024.1000000000001,1,0,0,1,低价值
15659,43,11,306.45,2,0,0,2,低价值
15660,24,90,1600.86,2,0,0,2,低价值
15661,316,5,309.8,0,0,0,0,低价值
15663,105,9,138.14,1,0,0,1,低价值
15664,50,17,386.43,2,0,0,2,低价值
15665,167,116,2242.01,1,0,0,1,低价值
15667,39,13,301.32,2,0,0,2,低价值
15668,217,1,76.32000000000001,1,0,0,1,低价值
15669,39,33,684.34,2,0,0,2,低价值
15670,296,12,173.05,0,0,0,0,低价值
15671,17,78,2657.13,2,0,1,3,中价值
15673,87,155,2881.02,2,1,1,4,中价值
15674,72,114,2446.6,2,0,0,2,低价值
15675,80,21,323.69,2,0,0,2,低价值
15676,17,202,3435.76,2,1,1,4,中价值
15677,48,33,657.23,2,0,0,2,低价值
15678,52,12,352.7,2,0,0,2,低价值
15679,23,110,781.28,2,0,0,2,低价值
15680,8,78,1333.68,2,0,0,2,低价值
15681,24,53,1426.16,2,0,0,2,低价值
15683,116,10,193.75,1,0,0,1,低价值
15687,8,166,2993.1,2,1,1,4,中价值
15689,119,9,254.1,1,0,0,1,低价值
15690,3,19,239.76,2,0,0,2,低价值
15691,251,2,136.8,0,0,0,0,低价值
15692,27,12,191.04,2,0,0,2,低价值
15694,0,78,6479.4,2,0,1,3,中价值
15695,266,22,409.98,0,0,0,0,低价值
15696,32,171,2736.46,2,1,1,4,中价值
15699,17,18,309.65,2,0,0,2,低价值
15700,171,86,696.68,1,0,0,1,低价值
15701,1,237,1542.14,2,1,0,3,中价值
15703,264,5,211.5,0,0,0,0,低价值
15704,139,117,2293.62,1,0,0,1,低价值
15705,200,6,143.1,1,0,0,1,低价值
15706,63,55,1060.56,2,0,0,2,低价值
15707,34,214,945.58,2,1,0,3,中价值
15708,40,288,3364.2400000000002,2,1,1,4,中价值
15709,283,6,133.25,0,0,0,0,低价值
15712,8,53,1072.3600000000001,2,0,0,2,低价值
15713,142,19,356.7,1,0,0,1,低价值
15714,11,35,330.88,2,0,0,2,低价值
15716,145,118,1118.81,1,0,0,1,低价值
15717,233,7,150.3,0,0,0,0,低价值
15719,32,937,5045.61,2,2,1,5,高价值
15720,23,128,598.73,2,0,0,2,低价值
15721,11,91,507.08,2,0,0,2,低价值
15722,35,69,2222.56,2,0,0,2,低价值
15723,364,41,203.1,0,0,0,0,低价值
15724,200,11,218.25,1,0,0,1,低价值
15725,14,32,415.25,2,0,0,2,低价值
15727,15,302,5178.96,2,1,1,4,中价值
15729,211,5,85.0,1,0,0,1,低价值
15730,65,70,1120.88,2,0,0,2,低价值
15732,211,14,294.12,1,0,0,1,低价值
15733,282,10,162.3,0,0,0,0,低价值
15734,114,26,1339.45,1,0,0,1,低价值
15737,14,72,1205.1200000000001,2,0,0,2,低价值
15738,18,173,4812.42,2,1,1,4,中价值
15739,65,8,449.12,2,0,0,2,低价值
15740,48,9,154.88,2,0,0,2,低价值
15743,15,88,784.46,2,0,0,2,低价值
15744,77,3,34.8,2,0,0,2,低价值
15745,18,62,1094.59,2,0,0,2,低价值
15746,133,28,196.88,1,0,0,1,低价值
15747,12,93,974.04,2,0,0,2,低价值
15748,39,21,149.31,2,0,0,2,低价值
15749,234,10,44534.3,0,0,3,3,中价值
15750,1,293,2465.48,2,1,1,4,中价值
15752,39,411,2637.38,2,1,1,4,中价值
15753,303,1,79.2,0,0,0,0,低价值
15754,50,28,458.57,2,0,0,2,低价值
15755,9,141,2364.25,2,1,0,3,中价值
15756,60,192,532.96,2,1,0,3,中价值
15757,65,45,714.42,2,0,0,2,低价值
15758,24,9,205.25,2,0,0,2,低价值
15759,217,7,253.04,1,0,0,1,低价值
15762,64,37,583.75,2,0,0,2,低价值
15763,31,61,1086.92,2,0,0,2,低价值
15764,87,180,3279.97,2,1,1,4,中价值
15766,63,11,315.06,2,0,0,2,低价值
15768,115,27,621.8299999999999,1,0,0,1,低价值
15769,6,130,56252.72,2,0,3,5,高价值
15773,4,10,635.6800000000001,2,0,0,2,低价值
15774,68,25,270.8,2,0,0,2,低价值
15775,244,7,104.9,0,0,0,0,低价值
15776,132,18,241.62,1,0,0,1,低价值
15777,240,21,1047.11,0,0,0,0,低价值
15780,183,29,475.28000000000003,1,0,0,1,低价值
15781,24,20,345.46,2,0,0,2,低价值
15782,9,43,2614.7400000000002,2,0,1,3,中价值
15783,10,14,246.3,2,0,0,2,低价值
15785,32,83,2328.9700000000003,2,0,0,2,低价值
15786,45,267,4932.2,2,1,1,4,中价值
15787,25,206,948.05,2,1,0,3,中价值
15789,357,25,351.3,0,0,0,0,低价值
15790,9,35,220.85,2,0,0,2,低价值
15791,43,75,1612.69,2,0,0,2,低价值
15793,14,12,965.61,2,0,0,2,低价值
15795,149,42,610.01,1,0,0,1,低价值
15796,0,133,2711.56,2,0,1,3,中价值
15797,112,8,2207.4,1,0,0,1,低价值
15799,74,98,884.14,2,0,0,2,低价值
15800,106,119,699.08,1,0,0,1,低价值
15801,45,64,1063.95,2,0,0,2,低价值
15802,142,1,451.42,1,0,0,1,低价值
15803,50,8,415.82000000000005,2,0,0,2,低价值
15804,0,263,4206.39,2,1,1,4,中价值
15805,22,301,5528.4800000000005,2,1,1,4,中价值
15806,45,31,784.58,2,0,0,2,低价值
15807,49,48,903.9,2,0,0,2,低价值
15808,305,208,3734.9700000000003,0,1,1,2,低价值
15809,35,35,515.77,2,0,0,2,低价值
15810,78,89,1391.98,2,0,0,2,低价值
15811,21,133,2218.62,2,0,0,2,低价值
15812,106,41,1801.14,1,0,0,1,低价值
15813,207,40,1303.9099999999999,1,0,0,1,低价值
15814,16,72,1945.33,2,0,0,2,低价值
15815,62,49,2100.6,2,0,0,2,低价值
15819,48,123,1905.45,2,0,0,2,低价值
15820,319,17,206.98,0,0,0,0,低价值
15821,43,62,570.96,2,0,0,2,低价值
15822,2,33,885.47,2,0,0,2,低价值
15823,371,1,15.0,0,0,0,0,低价值
15825,171,20,532.94,1,0,0,1,低价值
15826,55,68,1654.31,2,0,0,2,低价值
15827,72,115,1836.0900000000001,2,0,0,2,低价值
15829,98,51,636.14,1,0,0,1,低价值
15830,37,39,576.0,2,0,0,2,低价值
15831,57,68,801.76,2,0,0,2,低价值
15832,253,54,836.79,0,0,0,0,低价值
15834,69,273,2233.75,2,1,0,3,中价值
15835,43,50,954.09,2,0,0,2,低价值
15836,49,10,137.37,2,0,0,2,低价值
15837,64,24,391.98,2,0,0,2,低价值
15838,10,167,33643.08,2,1,3,6,高价值
15839,32,62,1048.49,2,0,0,2,低价值
15840,58,27,355.56,2,0,0,2,低价值
15841,72,47,1224.06,2,0,0,2,低价值
15843,303,8,118.95000000000002,0,0,0,0,低价值
15844,45,11,130.73999999999998,2,0,0,2,低价值
15845,17,138,3711.77,2,1,1,4,中价值
15847,37,22,389.27,2,0,0,2,低价值
15850,18,97,238.85,2,0,0,2,低价值
15852,186,22,160.71,1,0,0,1,低价值
15853,51,30,110.8,2,0,0,2,低价值
15854,3,140,2974.65,2,1,1,4,中价值
15855,136,80,712.24,1,0,0,1,低价值
15856,3,645,16387.57,2,2,2,6,高价值
15857,18,14,297.0,2,0,0,2,低价值
15858,14,191,1438.85,2,1,0,3,中价值
15860,40,142,977.21,2,1,0,3,中价值
15861,11,546,3165.36,2,2,1,5,高价值
15862,7,142,1776.36,2,1,0,3,中价值
15863,24,18,68.84,2,0,0,2,低价值
15864,21,20,1936.3200000000002,2,0,0,2,低价值
15865,39,40,895.13,2,0,0,2,低价值
15866,100,45,230.53,1,0,0,1,低价值
15867,4,461,3812.64,2,1,1,4,中价值
15869,276,15,149.64,0,0,0,0,低价值
15870,32,76,354.09000000000003,2,0,0,2,低价值
15872,14,128,360.93,2,0,0,2,低价值
15874,63,120,4405.88,2,0,1,3,中价值
15877,1,129,493.28,2,0,0,2,低价值
15880,368,105,343.28000000000003,0,0,0,0,低价值
15881,311,29,501.39000000000004,0,0,0,0,低价值
15882,198,23,516.36,1,0,0,1,低价值
15883,1,49,396.48,2,0,0,2,低价值
15885,92,18,379.35,2,0,0,2,低价值
15886,59,12,181.09,2,0,0,2,低价值
15888,80,12,168.31,2,0,0,2,低价值
15889,156,93,446.87,1,0,0,1,低价值
15891,225,62,524.52,1,0,0,1,低价值
15894,252,41,263.55,0,0,0,0,低价值
15895,149,11,179.17,1,0,0,1,低价值
15897,193,24,222.05,1,0,0,1,低价值
15898,0,86,1388.88,2,0,0,2,低价值
15899,368,4,56.25,0,0,0,0,低价值
15900,23,51,351.11,2,0,0,2,低价值
15901,15,116,363.88,2,0,0,2,低价值
15903,9,74,5126.76,2,0,1,3,中价值
15904,7,30,164.68,2,0,0,2,低价值
15906,19,150,1567.69,2,1,0,3,中价值
15907,3,249,967.45,2,1,0,3,中价值
15909,173,7,191.94,1,0,0,1,低价值
15910,0,267,1232.18,2,1,0,3,中价值
15912,177,19,264.62,1,0,0,1,低价值
15916,15,155,1528.09,2,1,0,3,中价值
15917,247,12,123.1,0,0,0,0,低价值
15918,190,40,334.23,1,0,0,1,低价值
15919,19,143,639.89,2,1,0,3,中价值
15920,153,60,167.5,1,0,0,1,低价值
15921,172,25,336.03000000000003,1,0,0,1,低价值
15922,372,11,369.5,0,0,0,0,低价值
15923,372,21,127.08,0,0,0,0,低价值
15925,193,12,207.15,1,0,0,1,低价值
15930,66,21,426.63,2,0,0,2,低价值
15932,3,115,2495.87,2,0,1,3,中价值
15933,20,74,1107.46,2,0,0,2,低价值
15935,238,12,416.86,0,0,0,0,低价值
15937,63,7,145.35,2,0,0,2,低价值
15938,111,18,404.58,1,0,0,1,低价值
15939,89,76,6115.01,2,0,1,3,中价值
15940,310,1,35.8,0,0,0,0,低价值
15942,133,14,337.44,1,0,0,1,低价值
15944,276,6,325.1,0,0,0,0,低价值
15945,364,2,181.0,0,0,0,0,低价值
15947,82,29,1708.24,2,0,0,2,低价值
15948,7,60,955.24,2,0,0,2,低价值
15949,16,19,364.72,2,0,0,2,低价值
15950,31,98,1765.51,2,0,0,2,低价值
15951,8,41,708.22,2,0,0,2,低价值
15952,33,91,806.57,2,0,0,2,低价值
15953,14,98,1659.3799999999999,2,0,0,2,低价值
15955,23,183,4416.26,2,1,1,4,中价值
15957,31,42,428.89,2,0,0,2,低价值
15958,73,7,104.35,2,0,0,2,低价值
15963,19,28,470.76,2,0,0,2,低价值
15965,16,122,845.64,2,0,0,2,低价值
15967,22,84,418.83,2,0,0,2,低价值
15969,2,20,666.1,2,0,0,2,低价值
15970,303,11,314.1,0,0,0,0,低价值
15971,16,35,4199.85,2,0,1,3,中价值
15973,366,4,307.82000000000005,0,0,0,0,低价值
15974,38,176,3442.15,2,1,1,4,中价值
15975,83,24,371.01,2,0,0,2,低价值
15976,164,98,430.94,1,0,0,1,低价值
15977,16,65,1054.73,2,0,0,2,低价值
15978,76,49,1098.78,2,0,0,2,低价值
15980,88,43,2398.86,2,0,0,2,低价值
15981,24,97,3408.48,2,0,1,3,中价值
15983,21,113,1475.02,2,0,0,2,低价值
15984,2,270,2837.67,2,1,1,4,中价值
15985,122,37,1142.42,1,0,0,1,低价值
15986,29,14,168.12,2,0,0,2,低价值
15987,11,140,1451.28,2,1,0,3,中价值
15988,18,27,158.03,2,0,0,2,低价值
15990,43,52,792.11,2,0,0,2,低价值
15992,3,3,41.989999999999995,2,0,0,2,低价值
15993,8,552,2797.57,2,2,1,5,高价值
15994,54,35,427.07,2,0,0,2,低价值
15996,87,130,1060.68,2,0,0,2,低价值
15998,35,506,3089.97,2,2,1,5,高价值
16000,2,9,12393.7,2,0,2,4,中价值
16003,29,103,2735.37,2,0,1,3,中价值
16005,11,218,615.39,2,1,0,3,中价值
16006,210,8,101.4,1,0,0,1,低价值
16007,47,385,1701.94,2,1,0,3,中价值
16008,23,33,478.78,2,0,0,2,低价值
16009,21,90,992.71,2,0,0,2,低价值
16010,245,86,407.5,0,0,0,0,低价值
16011,7,212,3362.71,2,1,1,4,中价值
16012,34,94,1415.29,2,0,0,2,低价值
16013,3,139,37130.6,2,1,3,6,高价值
16014,37,145,662.38,2,1,0,3,中价值
16015,3,182,705.39,2,1,0,3,中价值
16016,2,235,1508.76,2,1,0,3,中价值
16017,46,32,211.88,2,0,0,2,低价值
16018,38,28,408.90000000000003,2,0,0,2,低价值
16019,46,160,3786.2400000000002,2,1,1,4,中价值
