用户编号,年龄,性别,状态,下单次数,视力,月收入,月消费,近期购买产品,已注册月,收入消费比,年龄层次,收入等级,消费等级,R_Stage,F_Stage,M_Stage,用户价值,综合分群
U174,35,女,有朋友,4,5,82131,360,9色钻石珠光眼影盘,6,0.0043832414070204915,千禧一代(28-38),高收入,高消费,活跃用户,中频,高价值,高价值用户,其他用户群体
U178,45,女,单身,5,5,80886,160,9色钻石珠光眼影盘,6,0.0019780926241871276,成熟用户(39+),高收入,中消费,活跃用户,中频,中价值,其他,其他用户群体
U051,29,女,有朋友,3,3,58220,85,贝尔防黑色假发(高级黑),8,0.0014599793885262796,千禧一代(28-38),高收入,低消费,稳定用户,低频,低价值,潜力用户,高端假发追求者
U066,35,男,单身,3,3,77083,85,贝尔防黑色假发(高级黑),8,0.0011027074711674428,千禧一代(28-38),高收入,低消费,稳定用户,低频,低价值,潜力用户,高端假发追求者
U118,31,男,单身,2,1,75220,21,敦乐视疲劳滴眼液(13ML),8,0.00027918106886466363,千禧一代(28-38),高收入,低消费,稳定用户,低频,低价值,潜力用户,品质生活追求者
U125,33,男,单身,3,4,57754,74,敦乐视疲劳滴眼液(13ML),8,0.001281296533573432,千禧一代(28-38),高收入,低消费,稳定用户,低频,低价值,潜力用户,品质生活追求者
U143,22,女,单身,4,5,38556,200,9色钻石珠光眼影盘,8,0.005187260089220874,Z世代(18-27),高收入,中消费,稳定用户,中频,中价值,其他,年轻时尚达人
U145,23,男,单身,5,4,63536,100,9色钻石珠光眼影盘,8,0.001573910853689247,Z世代(18-27),高收入,低消费,稳定用户,中频,低价值,潜力用户,年轻时尚达人
U148,24,女,有朋友,4,5,47271,80,9色钻石珠光眼影盘,8,0.0016923695288866324,Z世代(18-27),高收入,低消费,稳定用户,中频,低价值,潜力用户,年轻时尚达人
U153,25,男,有朋友,5,5,71006,200,9色钻石珠光眼影盘,8,0.002816663380559389,Z世代(18-27),高收入,中消费,稳定用户,中频,中价值,其他,年轻时尚达人
U154,25,女,有朋友,4,3,54741,100,9色钻石珠光眼影盘,8,0.0018267843115763321,Z世代(18-27),高收入,低消费,稳定用户,中频,低价值,潜力用户,年轻时尚达人
U155,25,女,单身,6,4,60966,180,9色钻石珠光眼影盘,8,0.002952465308532625,Z世代(18-27),高收入,中消费,稳定用户,高频,中价值,其他,年轻时尚达人
U156,25,女,有朋友,6,5,65946,240,9色钻石珠光眼影盘,8,0.0036393412792284597,Z世代(18-27),高收入,中消费,稳定用户,高频,中价值,其他,年轻时尚达人
U161,27,女,单身,4,3,78396,100,9色钻石珠光眼影盘,8,0.0012755752844532883,Z世代(18-27),高收入,低消费,稳定用户,中频,低价值,潜力用户,年轻时尚达人
U163,28,男,有朋友,6,5,102131,180,9色钻石珠光眼影盘,8,0.0017624423534480227,千禧一代(28-38),高收入,中消费,稳定用户,高频,中价值,其他,其他用户群体
U164,28,女,有朋友,7,5,67191,180,9色钻石珠光眼影盘,8,0.002678930213867929,千禧一代(28-38),高收入,中消费,稳定用户,高频,中价值,其他,其他用户群体
U165,28,女,单身,6,5,78396,150,9色钻石珠光眼影盘,8,0.0019133629266799327,千禧一代(28-38),高收入,中消费,稳定用户,高频,中价值,其他,其他用户群体
U166,29,女,单身,5,5,42290,180,9色钻石珠光眼影盘,8,0.00425632537242847,千禧一代(28-38),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U169,30,女,单身,5,4,93336,160,9色钻石珠光眼影盘,8,0.0017142367360932546,千禧一代(28-38),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U170,30,女,有朋友,5,5,89601,150,9色钻石珠光眼影盘,8,0.001674088458834165,千禧一代(28-38),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U172,33,男,有朋友,4,5,105866,200,9色钻石珠光眼影盘,8,0.0018891806623467402,千禧一代(28-38),高收入,中消费,稳定用户,中频,中价值,其他,忠实高价值用户
U175,38,女,有朋友,5,5,94581,150,9色钻石珠光眼影盘,8,0.0015859422082659309,千禧一代(28-38),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U177,42,女,单身,5,4,79641,200,9色钻石珠光眼影盘,8,0.002511269321078339,成熟用户(39+),高收入,中消费,稳定用户,中频,中价值,其他,忠实高价值用户
U179,47,女,有朋友,4,5,94581,120,9色钻石珠光眼影盘,8,0.0012687537666127447,成熟用户(39+),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U180,48,女,单身,4,5,85508,180,9色钻石珠光眼影盘,8,0.0021050661926369464,成熟用户(39+),高收入,中消费,稳定用户,中频,中价值,其他,其他用户群体
U157,25,女,有朋友,4,5,64701,170,9色钻石珠光眼影盘,10,0.0026274709819013617,Z世代(18-27),高收入,中消费,老用户,中频,中价值,其他,年轻时尚达人
U158,26,男,单身,4,3,79721,100,9色钻石珠光眼影盘,11,0.001254374631527452,Z世代(18-27),高收入,低消费,老用户,中频,低价值,潜力用户,年轻时尚达人
U162,27,女,有朋友,4,4,80886,100,9色钻石珠光眼影盘,11,0.0012363078901169548,Z世代(18-27),高收入,低消费,老用户,中频,低价值,潜力用户,年轻时尚达人
U176,40,女,单身,6,5,73416,200,9色钻石珠光眼影盘,11,0.0027242018088700012,成熟用户(39+),高收入,中消费,老用户,高频,中价值,其他,忠实高价值用户
